genres,id,overview,release_date,title,vote_average,vote_count,director,actors
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",9355,"Mad Max becomes a pawn in a decadent oasis of a technological society, and when exiled, becomes the deliverer of a colony of children.",1985-06-29,Mad Max Beyond Thunderdome,5.9,765.0,George Miller,"Mel Gibson, Tina Turner, Bruce Spence"
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1727,"A FBI informant has kept his new identity secret for 15 years, now an old flame has recognised him and the bad guys are back for revenge.",1990-05-18,Bird on a Wire,5.9,209.0,John Badham,"Mel Gibson, Goldie Hawn, Joan Severance"
"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",635,"The down-and-out private detective Harry Angel is ordered, by a mysterious man named Louis Cyphre, to go on a mission to find a missing person. His routine failure soon leads to a bloody spar with himself as Harry Angel goes on a supernatural journey into his soul.",1987-03-06,Angel Heart,7.0,326.0,Alan Parker,"Mickey Rourke, Robert De Niro, Lisa Bonet"
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",10068,"An erotic story about a woman, the assistant of an art gallery, who gets involved in an impersonal affair with a man. She barely knows about his life, only about the sex games they play, so the relationship begins to get complicated.",1986-02-14,Nine 1/2 Weeks,5.8,183.0,Adrian Lyne,"Mickey Rourke, Kim Basinger, Margaret Whitton"
"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",11495,"As youths, Andy McGee (David Keith) and his future wife, Vicky (Heather Locklear), participated in secret experiments, allowing themselves to be subjected to mysterious medical tests. Years later, the couple's daughter, Charlie (Drew Barrymore), begins to exhibit the ability of setting fires solely with her mind. This volatile talent makes the youngster extremely dangerous and soon she becomes a target for the enigmatic agency known as ""The Shop.""",1984-05-11,Firestarter,5.9,174.0,Mark L. Lester,"David Keith, Drew Barrymore, Freddie Jones"
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",9679,"Upon learning that he has to come out of retirement to steal 50 cars in one night to save his brother Kip's life, former car thief Randall ""Memphis"" Raines enlists help from a few ""boost happy"" pals to accomplish a seemingly impossible feat. From countless car chases to relentless cops, the high-octane excitement builds as Randall swerves around more than a few roadblocks to keep Kip alive.",2000-06-09,Gone in Sixty Seconds,6.1,1511.0,Dominic Sena,"Nicolas Cage, Angelina Jolie, Giovanni Ribisi"
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",17814,The lone inhabitants of an abandoned police station are under attack by the overwhelming numbers of a seemingly unstoppable street gang.,1976-11-05,Assault on Precinct 13,7.1,223.0,John Carpenter,"Austin Stoker, Darwin Joston, Laurie Zimmer"
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",592,"Surveillance expert Harry Caul (Gene Hackman) is hired by a mysterious client's brusque aide (Harrison Ford) to tail a young couple, Mark (Frederic Forrest) and Ann (Cindy Williams). Tracking the pair through San Francisco's Union Square, Caul and his associate Stan (John Cazale) manage to record a cryptic conversation between them. Tormented by memories of a previous case that ended badly, Caul becomes obsessed with the resulting tape, trying to determine if the couple are in danger.",1974-04-07,The Conversation,7.5,377.0,Francis Ford Coppola,"Gene Hackman, John Cazale, Frederic Forrest"
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",9040,The real-life struggle of an honest New York City cop against a corrupt system.,1973-12-05,Serpico,7.5,429.0,Sidney Lumet,"Al Pacino, John Randolph Jones, Jack Kehoe"
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",6978,"When trucker, Jack Burton agreed to take his friend, Wang Chi to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer, Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form.",1986-05-30,Big Trouble in Little China,7.1,727.0,John Carpenter,"Kurt Russell, Kim Cattrall, Dennis Dun"
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",3133,"Dramatization of the Starkweather-Fugate killing spree of the 1950s, in which a teenage girl and her twenty-something boyfriend slaughtered her entire family and several others in the Dakota badlands.",1973-10-15,Badlands,7.5,301.0,Terrence Malick,"Martin Sheen, Sissy Spacek, Ramon Bieri"
"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",643,A dramatized account of a great Russian naval mutiny and a resulting street demonstration which brought on a police massacre. The film had an incredible impact on the development of cinema and was a masterful example of montage editing.,1925-12-24,Battleship Potemkin,7.6,201.0,Sergei M. Eisenstein,"Aleksandr Antonov, Vladimir Barsky, Grigori Aleksandrov"
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",479,"New York police detective John Shaft arrests Walter Wade Jr. for a racially motivated slaying. But the only eyewitness disappears, and Wade jumps bail for Switzerland. Two years later Wade returns to face trial, confident his money and influence will get him acquitted -- especially since he's paid a drug kingpin to kill the witness.",2000-06-15,Shaft,5.5,316.0,John Singleton,"Samuel L. Jackson, Jeffrey Wright, Christian Bale"
"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",7450,"A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Dredge are bent on mankind's destruction.",2000-06-16,Titan A.E.,6.3,320.0,Gary Goldman,"Matt Damon, Bill Pullman, Drew Barrymore"
"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",7443,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Rocky the american rooster and Ginger the chicken decide to rebel against the evil Mr. and Mrs. Tweedy, the farm's owners. Rocky and Ginger lead their fellow chickens in a great escape from the murderous farmers and their farm of doom.",2000-06-21,Chicken Run,6.5,1190.0,Nick Park,"Mel Gibson, Miranda Richardson, Timothy Spall"
"[{'id': 35, 'name': 'Comedy'}]",2123,"Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.",2000-06-22,"Me, Myself & Irene",6.1,956.0,Bobby Farrelly,"Jim Carrey, Renée Zellweger, Anthony Anderson"
"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",2024,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.",2000-06-28,The Patriot,6.8,1130.0,Roland Emmerich,"Mel Gibson, Heath Ledger, Joely Richardson"
"[{'id': 18, 'name': 'Drama'}]",2133,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure.",2000-03-15,The Perfect Storm,6.2,609.0,Wolfgang Petersen,"George Clooney, Mark Wahlberg, Diane Lane"
"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",4244,"Powerful businessman Russ Duritz is self-absorbed and immersed in his work. But by the magic of the moon, he meets Rusty, a chubby, charming 8-year-old version of himself who can't believe he could turn out so badly -- with no life and no dog. With Rusty's help, Russ is able to reconcile the person he used to dream of being with the man he's actually become.",2000-07-07,The Kid,6.0,242.0,Jon Turteltaub,"Bruce Willis, Spencer Breslin, Emily Mortimer"
"[{'id': 35, 'name': 'Comedy'}]",4247,"Following on the heels of popular teen-scream horror movies, with uproarious comedy and biting satire. Marlon and Shawn Wayans, Shannon Elizabeth and Carmen Electra pitch in to skewer some of Hollywood's biggest blockbusters, including Scream, I Know What You Did Last Summer, The Matrix, American Pie and The Blair Witch Project.",2000-07-07,Scary Movie,6.0,1468.0,Keenen Ivory Wayans,"Carmen Electra, Dave Sheridan, Anna Faris"
"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1052,"A successful mod photographer in London whose world is bounded by fashion, pop music, marijuana, and easy sex, feels his life is boring and despairing. But in the course of a single day he accidentally captures on film the commission of a murder. The fact that he has photographed a murder does not occur to him until he studies and then blows up his negatives, uncovering details, blowing up smaller and smaller elements, and finally putting the puzzle together.",1966-12-18,Blow-Up,7.3,227.0,Michelangelo Antonioni,"David Hemmings, Vanessa Redgrave, Sarah Miles"
"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",1788,"When teenager Ren and his family move from big-city Chicago to a small town in the West, he's in for a real case of culture shock.",1984-02-17,Footloose,6.4,525.0,Herbert Ross,"Kevin Bacon, John Lithgow, Dianne Wiest"
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",36657,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.",2000-07-13,X-Men,6.8,4172.0,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen"
"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2655,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",2000-07-21,What Lies Beneath,6.3,504.0,Robert Zemeckis,"Harrison Ford, Michelle Pfeiffer, Diana Scarwid"
"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",12599,"Ash Ketchum must put his skill to the test when he attempts to save the world from destruction. The Greedy Pokemon collector Lawrence III throws the universe into chaos after disrupting the balance of nature by capturing one of the Pokemon birds that rule the elements of fire, lightning and ice. Will Ash have what it takes to save the world?",1999-07-17,Pokémon: The Movie 2000,6.4,201.0,Michael Haigney,"Veronica Taylor, Rachael Lillis, Ed Paul"
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",93,"The film pits a humble small-town lawyer against a hard-headed big city prosecutor. Emotions flare as a jealous army lieutenant pleads innocent to murdering the rapist of his seductive, beautiful wife.",1959-07-01,Anatomy of a Murder,7.7,207.0,Otto Preminger,"James Stewart, Lee Remick, Ben Gazzara"
"[{'id': 35, 'name': 'Comedy'}]",10276,"Before going on vacation, self-involved psychiatrist Dr. Leo Marvin has the misfortune of taking on a new patient: Bob Wiley. An exemplar of neediness and a compendium of phobias, Bob follows Marvin to his family's country house. Dr. Marvin tries to get him to leave; the trouble is, everyone loves Bob. As his oblivious patient makes himself at home, Dr. Marvin loses his professional composure and, before long, may be ready for the loony bin himself.",1991-05-17,What About Bob?,6.7,265.0,Frank Oz,"Bill Murray, Richard Dreyfuss, Julie Hagerty"
"[{'id': 35, 'name': 'Comedy'}]",11624,"A collection of seven vignettes, which each address a question concerning human sexuality.",1972-08-06,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,6.6,218.0,Woody Allen,"Woody Allen, John Carradine, Lou Jacobi"
"[{'id': 36, 'name': 'History'}, {'id': 35, 'name': 'Comedy'}]",11686,"Set in 19th-century Russia, Allen is a cowardly serf drafted into the Napoleonic war, who would rather write poetry and obsess over his beautiful but pretentious cousin. Allen's cowardice serves him well when he hides in a cannon and is shot into a tent of French soldiers, making him a national hero. A hilarious parody of Russian literature, Love and Death is a must-see for fans of Allen's films.",1975-06-10,Love and Death,7.5,176.0,Woody Allen,"Woody Allen, Diane Keaton, Georges Adet"
"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",12107,"The hilarity begins when professor Sherman Klump finds romance with fellow DNA specialist, Denise Gaines, and discovers a brilliant formula that reverses aging. But Sherman's thin and obnoxious alter ego, Buddy Love, wants out...and a big piece of the action. And when Buddy gets loose, things get seriously nutty.",2000-07-27,Nutty Professor II: The Klumps,4.7,338.0,Peter Segal,"Eddie Murphy, Janet Jackson, Larry Miller"
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",6282,"Graced with a velvet voice, 21-year-old Violet Sanford heads to New York to pursue her dream of becoming a songwriter only to find her aspirations sidelined by the accolades and notoriety she receives at her ""day"" job as a barmaid at Coyote Ugly. The ""Coyotes"" as they are affectionately called tantalize customers and the media alike with their outrageous antics, making Coyote Ugly the watering hole for guys on the prowl.",2000-07-30,Coyote Ugly,5.8,590.0,David McNally,"Piper Perabo, Adam Garcia, John Goodman"
"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",9383,"Cocky researcher, Sebastian Caine is working on a project to make living creatures invisible and he's so confident he's found the right formula that he tests it on himself and soon begins to vanish. The only problem is – no-one can determine how to make him visible again. Caine's predicament eventually drives him mad, with terrifying results.",2000-08-04,Hollow Man,5.6,645.0,Paul Verhoeven,"Kevin Bacon, Elisabeth Shue, Josh Brolin"
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",5551,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth.",2000-07-31,Space Cowboys,6.3,407.0,Clint Eastwood,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland"
"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",11589,A misfit group of World War II American soldiers goes AWOL to rob a bank behind German lines.,1970-06-22,Kelly's Heroes,7.2,191.0,Brian G. Hutton,"Clint Eastwood, Telly Savalas, Don Rickles"
"[{'id': 35, 'name': 'Comedy'}]",10393,"Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot.",2000-08-07,The Replacements,6.2,207.0,Howard Deutch,"Keanu Reeves, Gene Hackman, Brooke Langton"
"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",8843,A psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim.,2000-08-17,The Cell,6.0,442.0,Tarsem Singh,"Jennifer Lopez, Vincent D'Onofrio, Vince Vaughn"
"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",37136,"When the incompetent Officer Frank Drebin seeks the ruthless killer of his partner, he stumbles upon an attempt to assassinate Queen Elizabeth.",1988-12-02,The Naked Gun: From the Files of Police Squad!,7.1,1020.0,David Zucker,"Leslie Nielsen, Priscilla Presley, Ricardo Montalban"
"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",37137,"Bumbling cop Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that will put them out of business.",1991-06-28,The Naked Gun 2½: The Smell of Fear,6.6,556.0,David Zucker,"Leslie Nielsen, Priscilla Presley, George Kennedy"
"[{'id': 35, 'name': 'Comedy'}]",1588,"The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen.",2000-08-25,Bring It On,5.8,574.0,Peyton Reed,"Kirsten Dunst, Jesse Bradford, Eliza Dushku"
"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",786,"Almost Famous is an autobiographical inspired film about a 15-year-old who is hired by Rolling Stone magazine to follow and interview a rock band during their tour. A film about growing up, first love, disappointment, and the life of a rock star.",2000-09-15,Almost Famous,7.4,807.0,Cameron Crowe,"Kate Hudson, Billy Crudup, Frances McDormand"
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 10402, 'name': 'Music'}]",16,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",2000-05-17,Dancer in the Dark,7.7,392.0,Lars von Trier,"Björk, Catherine Deneuve, David Morse"
"[{'id': 35, 'name': 'Comedy'}]",13785,"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them.",2000-09-19,Best in Show,6.7,168.0,Christopher Guest,"Jay Brazeau, Parker Posey, Michael Hitchcock"
"[{'id': 18, 'name': 'Drama'}]",10637,"After leading his football team to 15 winning seasons, coach Bill Yoast is demoted and replaced by Herman Boone – tough, opinionated and as different from the beloved Yoast as he could be. The two men learn to overcome their differences and turn a group of hostile young men into true champions.",2000-09-29,Remember the Titans,7.4,835.0,Boaz Yakin,"Denzel Washington, Will Patton, Ryan Hurst"
"[{'id': 27, 'name': 'Horror'}]",9003,"Larry and his wife, Julia move into an old house and discover a hideous creature - the man's half-brother, who is also the woman's former lover - hiding upstairs. Having lost his earthly body to a trio of S&amp;M demons, the Cenobites, Frank, is brought back into existence by a drop of blood on the floor. He soon forces his former mistress to bring him his necessary human sacrifices to complete his body... but the Cenobites won't be happy about this.",1987-09-11,Hellraiser,6.9,464.0,Clive Barker,"Andrew Robinson, Clare Higgins, Ashley Laurence"
"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",9064,"Doctor Channard is sent a new patient, a girl warning of the terrible creatures that have destroyed her family, Cenobites who offer the most intense sensations of pleasure and pain. But Channard has been searching for the doorway to Hell for years, and Kirsty must follow him to save her father and witness the power struggles among the newly damned.",1988-12-23,Hellbound: Hellraiser II,6.3,227.0,Tony Randel,"Clare Higgins, Ashley Laurence, Kenneth Cranham"
"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",11569,"Pinhead is trapped in a sculpture and fortunately for him the sculpture is bought by a young playboy who owns his own night club. Pinhead busies himself escaping by getting the playboy to lure victims to his presence so he can use their blood. Once free, he seeks to destroy the puzzle cube so he need never return to Hell, but a female reporter is investigating the grisly murders and stands in his way.",1992-09-11,Hellraiser III: Hell on Earth,5.3,160.0,Anthony Hickox,"Kevin Bernhardt, Terry Farrell, Ken Carpenter"
"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",10973,"A scientific expedition searching for fossils along the Amazon River discover a prehistoric Gill-Man in the legendary Black Lagoon. The explorers capture the mysterious creature, but it breaks free. The Gill-Man returns to kidnap the lovely Kay, fiancée of one of the expedition, with whom it has fallen in love.",1954-03-05,Creature from the Black Lagoon,6.7,152.0,Jack Arnold,"Richard Carlson, Julie Adams, Richard Denning"
"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",10787,"Working in Dr. Cranley's laboratory, scientist Jack Griffin was always given the latitude to conduct somhe of his own experiments. His sudden departure, however, has Cranley's daughter Flora worried about him. Griffin has taken a room at the nearby Lion's Head Inn, hoping to reverse an experiment he conducted on himself that made him invisible. Unfortunately, the drug he used has also warped his mind, making him aggressive and dangerous. He's prepared to do whatever it takes to restore his appearance, and several will die in the process.",1933-11-13,The Invisible Man,7.3,151.0,James Whale,"Claude Rains, Gloria Stuart, William Harrigan"
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1597,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze.",2000-10-06,Meet the Parents,6.6,1743.0,Jay Roach,"Ben Stiller, Robert De Niro, Teri Polo"
"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",641,The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.,2000-10-27,Requiem for a Dream,7.9,2525.0,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly"
"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",10687,"A group of recruits go through Advanced Infantry Training at Fort Polk, Louisiana's infamous Tigerland, last stop before Vietnam for tens of thousands of young men in 1971",2000-09-22,Tigerland,6.7,155.0,Joel Schumacher,"Colin Farrell, Matthew Davis, Clifton Collins Jr"
"[{'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",2134,A Victorian Englishman travels to the far future and finds that humanity has divided into two hostile species.,1960-08-17,The Time Machine,7.5,217.0,George Pal,"Rod Taylor, Alan Young, Yvette Mimieux"
"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",71,"Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!",2000-05-18,Billy Elliot,7.4,774.0,Stephen Daldry,"Jamie Bell, Julie Walters, Jean Heywood"
"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1636,"Elliot Richardson, suicidal techno geek, is given seven wishes to turn his life around when he meets up with a very seductive Satan. The catch: his soul. Some of his wishes include a 7 foot basketball star, a rock star, and a hamburger. But, as could be expected, the Devil must put her own little twist on each his fantasies.",2000-10-19,Bedazzled,5.6,526.0,Harold Ramis,"Elizabeth Hurley, Brendan Fraser, Frances O'Connor"
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",10647,"Like some other kids, 12-year-old Trevor McKinney believed in the goodness of human nature. Like many other kids, he was determined to change the world for the better. Unlike most other kids, he succeeded.",2000-10-12,Pay It Forward,7.0,447.0,Mimi Leder,"Kevin Spacey, Helen Hunt, Haley Joel Osment"
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",12207,"Returning home with his father after a shopping expedition, Wong Fei-Hong is unwittingly caught up in the battle between foreigners who wish to export ancient Chinese artifacts and loyalists who don't want the pieces to leave the country. Fei-Hong must fight against the foreigners using his Drunken Boxing style, and overcome his father's antagonism as well.",1994-02-03,The Legend of Drunken Master,7.2,246.0,Liu Chia-Liang,"Jackie Chan, Anita Mui, Ti Lung"
"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",11531,"Young adults become fascinated by the events of the three missing filmmakers in Maryland, so they decide to go into the same woods and find out what really happened.",2000-10-27,Book of Shadows: Blair Witch 2,4.3,216.0,Joe Berlinger,"Kim Director, Jeffrey Donovan, Erica Leerhsen"
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",4327,"Aspects of this take on the 1970s hit TV series are similar to the original show :Angels Dylan, Natalie and Alex still work for Charlie and interface with Bosley. They still flip their hair, stop traffic with a smile and kick butt. The differences are the unsubtle humor, the martial arts training and the high-tech premise: This time, they're hot on the trail of stolen software.",2000-11-02,Charlie's Angels,5.6,1253.0,McG,"Cameron Diaz, Lucy Liu, Drew Barrymore"
"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",4958,"World War I has left golfer Rannulph Junuh a poker-playing alcoholic, his perfect swing gone. Now, however, he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance.",2000-11-02,The Legend of Bagger Vance,6.4,259.0,Robert Redford,"Matt Damon, Bruce McGill, Charlize Theron"
"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",9678,"After the lord of darkness decides he will not cede his thrown to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son, Little Nicky, to Earth to return his brothers to Hell.",2000-11-10,Little Nicky,5.2,447.0,Steven Brill,"Adam Sandler, Patricia Arquette, Harvey Keitel"
"[{'id': 18, 'name': 'Drama'}]",11978,"Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor.",2000-09-13,Men of Honor,7.0,556.0,"George Tillman, Jr.","Robert De Niro, Cuba Gooding Jr., Charlize Theron"
"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",8870,"Astronauts search for solutions to save a dying Earth by searching on Mars, only to have the mission go terribly awry.",2000-11-10,Red Planet,5.4,271.0,Antony Hoffman,"Val Kilmer, Carrie-Anne Moss, Benjamin Bratt"
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",681,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.,1971-12-13,Diamonds Are Forever,6.3,562.0,Guy Hamilton,"Sean Connery, Jill St. John, Charles Gray"
"[{'id': 878, 'name': 'Science Fiction'}]",8452,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,2000-11-17,The 6th Day,5.7,603.0,Roger Spottiswoode,"Arnold Schwarzenegger, Michael Rapaport, Tony Goldwyn"
